date,vaccine_type,vaccine_count
13/07/2021,Sinovac,300918
13/07/2021,Astra,22126
13/07/2021,Sinopharm,0
13/07/2021,Cansino,0
14/07/2021,Pfizer,122061
14/07/2021,Sinovac,312897
14/07/2021,Astra,24402
14/07/2021,Sinopharm,0
14/07/2021,Cansino,0
15/07/2021,Pfizer,137971
15/07/2021,Sinovac,317740
15/07/2021,Astra,23407
15/07/2021,Sinopharm,0
15/07/2021,Cansino,0
16/07/2021,Pfizer,128016
16/07/2021,Sinovac,267311
16/07/2021,Astra,22656
16/07/2021,Sinopharm,0
16/07/2021,Cansino,0
17/07/2021,Pfizer,132347
17/07/2021,Sinovac,236763
17/07/2021,Astra,28030
17/07/2021,Sinopharm,0
17/07/2021,Cansino,0
18/07/2021,Pfizer,123529
18/07/2021,Sinovac,204100
18/07/2021,Astra,28872
18/07/2021,Sinopharm,0
18/07/2021,Cansino,0
19/07/2021,Pfizer,168850
19/07/2021,Sinovac,242679
19/07/2021,Astra,31673
19/07/2021,Sinopharm,0
19/07/2021,Cansino,0
20/07/2021,Pfizer,83345
20/07/2021,Sinovac,199656
20/07/2021,Astra,29006
20/07/2021,Sinopharm,0
20/07/2021,Cansino,0
21/07/2021,Pfizer,156738
21/07/2021,Sinovac,272285
21/07/2021,Astra,30473
21/07/2021,Sinopharm,0
21/07/2021,Cansino,0
22/07/2021,Pfizer,203977
22/07/2021,Sinovac,285074
22/07/2021,Astra,31291
22/07/2021,Sinopharm,1
22/07/2021,Cansino,0
23/07/2021,Pfizer,180692
23/07/2021,Sinovac,268194
23/07/2021,Astra,30401
23/07/2021,Sinopharm,0
23/07/2021,Cansino,0
24/07/2021,Pfizer,175684
24/07/2021,Sinovac,231201
24/07/2021,Astra,26702
24/07/2021,Sinopharm,0
24/07/2021,Cansino,0
25/07/2021,Pfizer,165170
25/07/2021,Sinovac,223906
25/07/2021,Astra,28449
25/07/2021,Sinopharm,0
25/07/2021,Cansino,0
26/07/2021,Pfizer,227456
26/07/2021,Sinovac,279895
26/07/2021,Astra,31141
26/07/2021,Sinopharm,0
26/07/2021,Cansino,0
27/07/2021,Pfizer,253040
27/07/2021,Sinovac,288151
27/07/2021,Astra,31338
27/07/2021,Sinopharm,0
27/07/2021,Cansino,0
28/07/2021,Pfizer,245196
28/07/2021,Sinovac,311868
28/07/2021,Astra,25700
28/07/2021,Sinopharm,0
28/07/2021,Cansino,2
29/07/2021,Pfizer,255079
29/07/2021,Sinovac,299769
29/07/2021,Astra,26963
29/07/2021,Sinopharm,0
29/07/2021,Cansino,4
30/07/2021,Pfizer,211840
30/07/2021,Sinovac,296281
30/07/2021,Astra,28122
30/07/2021,Sinopharm,1
30/07/2021,Cansino,0
31/07/2021,Pfizer,220195
31/07/2021,Sinovac,296387
31/07/2021,Astra,27306
31/07/2021,Sinopharm,0
31/07/2021,Cansino,2
01/08/2021,Pfizer,205254
01/08/2021,Sinovac,265402
01/08/2021,Astra,25596
01/08/2021,Sinopharm,0
01/08/2021,Cansino,2
02/08/2021,Pfizer,228822
02/08/2021,Sinovac,243416
02/08/2021,Astra,17075
02/08/2021,Sinopharm,0
02/08/2021,Cansino,0
03/08/2021,Pfizer,247827
03/08/2021,Sinovac,239967
03/08/2021,Astra,17316
03/08/2021,Sinopharm,0
03/08/2021,Cansino,1
04/08/2021,Pfizer,258519
04/08/2021,Sinovac,239922
04/08/2021,Astra,18048
04/08/2021,Sinopharm,0
04/08/2021,Cansino,1
05/08/2021,Pfizer,264309
05/08/2021,Sinovac,256781
05/08/2021,Astra,18009
05/08/2021,Sinopharm,0
05/08/2021,Cansino,1
06/08/2021,Pfizer,219282
06/08/2021,Sinovac,222946
